cli;odorizador;cant_odo;aerosoles;cant_aer;goteos;cant_got
710418;1;0;2;0;3;0
3261;1;1;2;0;3;0
10381;1;0;2;0;3;0
139438;1;0;2;0;3;0
789912;1;0;2;0;3;0
276165;1;0;2;0;3;0
9723;1;1;2;0;3;0
899296;1;0;2;0;3;0
538557;1;4;2;0;3;0
721346;1;1;2;0;3;0
483293;1;0;2;0;3;0
565863;1;0;2;0;3;0
137375;1;0;2;0;3;0
901023;1;1;2;0;3;0
172558;1;0;2;0;3;0
8746;1;1;2;0;3;0
8491;1;1;2;0;3;0
420293;1;1;2;0;3;0
485327;1;1;2;0;3;0
1849;1;5;2;0;3;0
872;1;8;2;0;3;0
9875;1;1;2;0;3;0
24063;1;2;2;0;3;0
10280;1;1;2;0;3;0
852122;1;4;2;0;3;0
594303;1;2;2;0;3;0
336928;1;1;2;0;3;0
682648;1;2;2;0;3;100
75433;1;1;2;0;3;0
69341;1;1;2;0;3;0
259061;1;1;2;0;3;0
5029;1;1;2;0;3;0
570231;1;0;2;0;3;0
6190;1;2;2;0;3;0
234452;1;0;2;0;3;0
202096;1;0;2;0;3;0
955349;1;0;2;0;3;0
568592;1;1;2;0;3;0
282499;1;1;2;0;3;0
157138;1;1;2;0;3;0
786;1;4;2;0;3;0
855;1;1;2;0;3;0
10470;1;2;2;0;3;0
542078;1;0;2;0;3;0
141286;1;2;2;0;3;0
758572;1;2;2;0;3;0
568982;1;2;2;0;3;0
640278;1;2;2;0;3;100
450004;1;0;2;0;3;0
6527;1;1;2;0;3;0
6528;1;2;2;0;3;0
326915;1;1;2;0;3;0
696285;1;1;2;0;3;0
10556;1;1;2;0;3;0
154701;1;1;2;0;3;0
420702;1;0;2;0;3;0
1741;1;1;2;0;3;0
744592;1;0;2;0;3;0
592709;1;1;2;0;3;0
797687;1;1;2;0;3;0
9583;1;1;2;0;3;0
7810;1;0;2;0;3;0
991698;1;1;2;0;3;0
8285;1;1;2;0;3;0
774076;1;0;2;0;3;0
823;1;0;2;0;3;0
287519;1;0;2;0;3;0
2760;1;1;2;0;3;0
477264;1;0;2;0;3;0
866232;1;1;2;6;3;0
64;1;1;2;0;3;0
626122;1;1;2;0;3;0
327302;1;0;2;0;3;0
9466;1;0;2;0;3;0
894;1;2;2;0;3;0
8566;1;0;2;0;3;0
5050;1;3;2;0;3;0
109876;1;0;2;0;3;0
161261;1;1;2;0;3;0
641155;1;1;2;0;3;0
9767;1;1;2;0;3;0
2271;1;1;2;0;3;0
